1716984878.629055 client started (48681): version 3.3a, socket /run/user/1000/tmux-1000/default, protocol 8
1716984878.629081 on Linux 6.1.91 #1-NixOS SMP PREEMPT_DYNAMIC Fri May 17 09:56:25 UTC 2024
1716984878.629091 using libevent 2.1.12-stable (poll); utf8proc 2.9.0; ncurses 6.4
1716984878.629962 sending message 105 to peer 0x506700 (87 bytes)
1716984878.629969 sending message 105 to peer 0x506700 (25 bytes)
1716984878.629974 sending message 105 to peer 0x506700 (21 bytes)
1716984878.629979 sending message 105 to peer 0x506700 (6 bytes)
1716984878.629985 sending message 105 to peer 0x506700 (23 bytes)
1716984878.629990 sending message 105 to peer 0x506700 (139 bytes)
1716984878.629996 sending message 105 to peer 0x506700 (24 bytes)
1716984878.630003 sending message 105 to peer 0x506700 (242 bytes)
1716984878.630008 sending message 105 to peer 0x506700 (23 bytes)
1716984878.630015 sending message 105 to peer 0x506700 (70 bytes)
1716984878.630020 sending message 105 to peer 0x506700 (69 bytes)
1716984878.630027 sending message 105 to peer 0x506700 (51 bytes)
1716984878.630032 sending message 105 to peer 0x506700 (23 bytes)
1716984878.630038 sending message 105 to peer 0x506700 (6 bytes)
1716984878.630045 sending message 105 to peer 0x506700 (36 bytes)
1716984878.630050 sending message 105 to peer 0x506700 (8 bytes)
1716984878.630055 sending message 105 to peer 0x506700 (85 bytes)
1716984878.630062 sending message 105 to peer 0x506700 (112 bytes)
1716984878.630067 sending message 105 to peer 0x506700 (702 bytes)
1716984878.630074 sending message 105 to peer 0x506700 (15 bytes)
1716984878.630080 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630087 sending message 105 to peer 0x506700 (21 bytes)
1716984878.630092 sending message 105 to peer 0x506700 (50 bytes)
1716984878.630101 sending message 105 to peer 0x506700 (14 bytes)
1716984878.630107 sending message 105 to peer 0x506700 (25 bytes)
1716984878.630112 sending message 105 to peer 0x506700 (696 bytes)
1716984878.630117 sending message 105 to peer 0x506700 (27 bytes)
1716984878.630122 sending message 105 to peer 0x506700 (21 bytes)
1716984878.630128 sending message 105 to peer 0x506700 (93 bytes)
1716984878.630133 sending message 105 to peer 0x506700 (29 bytes)
1716984878.630138 sending message 105 to peer 0x506700 (21 bytes)
1716984878.630144 sending message 105 to peer 0x506700 (19 bytes)
1716984878.630149 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630154 sending message 105 to peer 0x506700 (371 bytes)
1716984878.630161 sending message 105 to peer 0x506700 (20 bytes)
1716984878.630166 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630171 sending message 105 to peer 0x506700 (35 bytes)
1716984878.630177 sending message 105 to peer 0x506700 (86 bytes)
1716984878.630182 sending message 105 to peer 0x506700 (15 bytes)
1716984878.630189 sending message 105 to peer 0x506700 (31 bytes)
1716984878.630194 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630201 sending message 105 to peer 0x506700 (17 bytes)
1716984878.630206 sending message 105 to peer 0x506700 (26 bytes)
1716984878.630213 sending message 105 to peer 0x506700 (9 bytes)
1716984878.630219 sending message 105 to peer 0x506700 (28 bytes)
1716984878.630224 sending message 105 to peer 0x506700 (24 bytes)
1716984878.630231 sending message 105 to peer 0x506700 (1061 bytes)
1716984878.630245 sending message 105 to peer 0x506700 (64 bytes)
1716984878.630250 sending message 105 to peer 0x506700 (20 bytes)
1716984878.630256 sending message 105 to peer 0x506700 (21 bytes)
1716984878.630263 sending message 105 to peer 0x506700 (22 bytes)
1716984878.630268 sending message 105 to peer 0x506700 (7473 bytes)
1716984878.630276 sending message 105 to peer 0x506700 (17 bytes)
1716984878.630281 sending message 105 to peer 0x506700 (23 bytes)
1716984878.630287 sending message 105 to peer 0x506700 (199 bytes)
1716984878.630293 sending message 105 to peer 0x506700 (20 bytes)
1716984878.630300 sending message 105 to peer 0x506700 (47 bytes)
1716984878.630305 sending message 105 to peer 0x506700 (26 bytes)
1716984878.630312 sending message 105 to peer 0x506700 (1764 bytes)
1716984878.630318 sending message 105 to peer 0x506700 (79 bytes)
1716984878.630325 sending message 105 to peer 0x506700 (7 bytes)
1716984878.630330 sending message 105 to peer 0x506700 (73 bytes)
1716984878.630337 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630342 sending message 105 to peer 0x506700 (51 bytes)
1716984878.630347 sending message 105 to peer 0x506700 (72 bytes)
1716984878.630353 sending message 105 to peer 0x506700 (170 bytes)
1716984878.630358 sending message 105 to peer 0x506700 (29 bytes)
1716984878.630364 sending message 105 to peer 0x506700 (419 bytes)
1716984878.630373 sending message 105 to peer 0x506700 (20 bytes)
1716984878.630379 sending message 105 to peer 0x506700 (56 bytes)
1716984878.630385 sending message 105 to peer 0x506700 (39 bytes)
1716984878.630390 sending message 105 to peer 0x506700 (63 bytes)
1716984878.630395 sending message 105 to peer 0x506700 (83 bytes)
1716984878.630402 sending message 105 to peer 0x506700 (11 bytes)
1716984878.630407 sending message 105 to peer 0x506700 (6 bytes)
1716984878.630413 sending message 105 to peer 0x506700 (38 bytes)
1716984878.630418 sending message 105 to peer 0x506700 (22 bytes)
1716984878.630423 sending message 105 to peer 0x506700 (1118 bytes)
1716984878.630429 sending message 105 to peer 0x506700 (54 bytes)
1716984878.630434 sending message 105 to peer 0x506700 (14 bytes)
1716984878.630440 sending message 105 to peer 0x506700 (18 bytes)
1716984878.630445 sending message 105 to peer 0x506700 (124 bytes)
1716984878.630450 sending message 105 to peer 0x506700 (31 bytes)
1716984878.630455 sending message 105 to peer 0x506700 (92 bytes)
1716984878.630462 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630472 sending message 105 to peer 0x506700 (92 bytes)
1716984878.630478 sending message 105 to peer 0x506700 (28 bytes)
1716984878.630483 sending message 105 to peer 0x506700 (46 bytes)
1716984878.630488 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630494 sending message 105 to peer 0x506700 (8 bytes)
1716984878.630499 sending message 105 to peer 0x506700 (11 bytes)
1716984878.630506 sending message 105 to peer 0x506700 (11 bytes)
1716984878.630512 sending message 105 to peer 0x506700 (29 bytes)
1716984878.630517 sending message 105 to peer 0x506700 (19 bytes)
1716984878.630522 sending message 105 to peer 0x506700 (6 bytes)
1716984878.630527 sending message 105 to peer 0x506700 (64 bytes)
1716984878.630535 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630540 sending message 105 to peer 0x506700 (80 bytes)
1716984878.630545 sending message 105 to peer 0x506700 (19 bytes)
1716984878.630550 sending message 105 to peer 0x506700 (13 bytes)
1716984878.630556 sending message 105 to peer 0x506700 (58 bytes)
1716984878.630563 sending message 105 to peer 0x506700 (155 bytes)
1716984878.630568 sending message 105 to peer 0x506700 (58 bytes)
1716984878.630573 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630579 sending message 105 to peer 0x506700 (24 bytes)
1716984878.630584 sending message 105 to peer 0x506700 (19 bytes)
1716984878.630589 sending message 105 to peer 0x506700 (20 bytes)
1716984878.630597 sending message 105 to peer 0x506700 (11 bytes)
1716984878.630602 sending message 105 to peer 0x506700 (14 bytes)
1716984878.630608 sending message 105 to peer 0x506700 (17 bytes)
1716984878.630613 sending message 105 to peer 0x506700 (20 bytes)
1716984878.630618 sending message 105 to peer 0x506700 (9 bytes)
1716984878.630624 sending message 105 to peer 0x506700 (195 bytes)
1716984878.630629 sending message 105 to peer 0x506700 (18 bytes)
1716984878.630635 sending message 105 to peer 0x506700 (12754 bytes)
1716984878.630643 sending message 105 to peer 0x506700 (29 bytes)
1716984878.630648 sending message 105 to peer 0x506700 (72 bytes)
1716984878.630654 sending message 105 to peer 0x506700 (19 bytes)
1716984878.630659 sending message 105 to peer 0x506700 (27 bytes)
1716984878.630665 sending message 105 to peer 0x506700 (12 bytes)
1716984878.630670 sending message 105 to peer 0x506700 (24 bytes)
1716984878.630675 sending message 105 to peer 0x506700 (16 bytes)
1716984878.630681 sending message 105 to peer 0x506700 (52 bytes)
